iter	Passed	Remaining
0	2	208
1	3	161
2	4	146
3	5	129
4	6	126
5	7	122
6	9	119
7	10	117
8	11	114
9	12	113
10	13	111
11	15	113
12	16	112
13	18	111
14	19	108
15	20	107
16	21	105
17	22	104
18	24	102
19	25	101
20	26	100
21	27	98
22	29	98
23	30	96
24	31	95
25	32	93
26	34	92
27	35	90
28	36	89
29	37	87
30	39	87
31	41	87
32	43	87
33	44	86
34	45	85
35	47	83
36	48	82
37	49	80
38	50	79
39	52	78
40	53	77
41	54	74
42	55	73
43	56	72
44	58	71
45	59	69
46	60	68
47	61	66
48	62	65
49	63	63
50	64	62
51	66	61
52	67	59
53	68	58
54	69	56
55	70	55
56	71	54
57	73	52
58	74	51
59	75	50
60	76	48
61	77	47
62	78	46
63	80	45
64	81	43
65	82	42
66	84	41
67	86	40
68	87	39
69	88	37
70	89	36
71	90	35
72	92	34
73	93	32
74	94	31
75	95	30
76	96	28
77	98	27
78	99	26
79	100	25
80	102	23
81	103	22
82	104	21
83	106	20
84	107	18
85	108	17
86	109	16
87	110	15
88	112	13
89	113	12
90	114	11
91	115	10
92	117	8
93	118	7
94	119	6
95	121	5
96	122	3
97	124	2
98	127	1
99	128	0
